Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
08/04/2026,13:45:00,MOBALPA,4,2,2,3146,786.5,"50,00%"
08/04/2026,11:15:00,MOBALPA,1,1,0,390,390,"100,00%"
08/04/2026,10:30:00,MOBALPA,4,2,2,2371,592.75,"50,00%"
08/04/2026,13:00:00,MOBALPA,6,4,2,5393,898.83,"66,67%"
08/04/2026,12:30:00,MOBALPA,9,4,5,6997,777.44,"44,44%"
08/04/2026,13:15:00,MOBALPA,5,2,3,3475,695,"40,00%"
08/04/2026,11:30:00,MOBALPA,1,1,0,612,612,"100,00%"
08/04/2026,09:15:00,MOBALPA,10,7,3,5855,585.5,"70,00%"
08/04/2026,09:45:00,MOBALPA,8,6,2,5624,703,"75,00%"
08/04/2026,11:00:00,MOBALPA,4,2,2,2205,551.25,"50,00%"
08/04/2026,07:30:00,MOBALPA,9,9,0,6085,676.11,"100,00%"
08/04/2026,08:15:00,MOBALPA,8,3,5,6143,767.88,"37,50%"
08/04/2026,07:45:00,MOBALPA,6,6,0,3880,646.67,"100,00%"
08/04/2026,08:00:00,MOBALPA,9,8,1,5428,603.11,"88,89%"
08/04/2026,15:00:00,MOBALPA,2,1,1,1062,531,"50,00%"
08/04/2026,09:00:00,MOBALPA,3,3,0,1306,435.33,"100,00%"
08/04/2026,07:15:00,MOBALPA,2,2,0,325,162.5,"100,00%"
08/04/2026,12:15:00,MOBALPA,7,4,3,5330,761.43,"57,14%"
08/04/2026,11:45:00,MOBALPA,6,4,2,4005,667.5,"66,67%"
08/04/2026,12:45:00,MOBALPA,7,4,3,5197,742.43,"57,14%"
08/04/2026,08:30:00,MOBALPA,5,4,1,2033,406.6,"80,00%"
08/04/2026,13:30:00,MOBALPA,4,3,1,2950,737.5,"75,00%"
08/04/2026,14:15:00,MOBALPA,6,6,0,3740,623.33,"100,00%"
08/04/2026,08:45:00,MOBALPA,7,5,2,4537,648.14,"71,43%"
08/04/2026,10:00:00,MOBALPA,3,1,2,1229,409.67,"33,33%"
08/04/2026,14:45:00,MOBALPA,4,4,0,3491,872.75,"100,00%"
08/04/2026,15:30:00,MOBALPA,2,2,0,589,294.5,"100,00%"
08/04/2026,09:30:00,Pôle FA - SALM AIRFORCE,1,1,0,743,743,"100,00%"
08/04/2026,10:30:00,Pôle FA - SALM AIRFORCE,1,1,0,1146,1146,"100,00%"
08/04/2026,13:00:00,Pôle FA - SALM AIRFORCE,3,3,0,1973,657.67,"100,00%"
08/04/2026,13:15:00,Pôle FA - SALM AIRFORCE,1,1,0,538,538,"100,00%"
08/04/2026,14:00:00,Pôle FA - SALM AIRFORCE,1,0,1,114,114,"0,00%"
08/04/2026,14:30:00,Pôle FA - SALM AIRFORCE,2,1,1,1109,554.5,"50,00%"
08/04/2026,15:00:00,Pôle FA - SALM AIRFORCE,1,1,0,275,275,"100,00%"
08/04/2026,15:30:00,Pôle FA - SALM AIRFORCE,1,1,0,248,248,"100,00%"
08/04/2026,15:45:00,Pôle FA - SALM AIRFORCE,1,1,0,1206,1206,"100,00%"
08/04/2026,16:15:00,Pôle FA - SALM AIRFORCE,1,1,0,703,703,"100,00%"
08/04/2026,08:00:00,unknown,1,1,0,40,40,"100,00%"
08/04/2026,09:15:00,Pôle FA - ROBLIN,1,1,0,434,434,"100,00%"
08/04/2026,11:15:00,Pôle FA - ROBLIN,1,0,1,614,614,"0,00%"
08/04/2026,11:30:00,Pôle FA - ROBLIN,1,1,0,223,223,"100,00%"
08/04/2026,11:45:00,Pôle FA - ROBLIN,1,1,0,294,294,"100,00%"
08/04/2026,12:00:00,Pôle FA - ROBLIN,1,1,0,201,201,"100,00%"
08/04/2026,12:45:00,Pôle FA - ROBLIN,1,1,0,243,243,"100,00%"
08/04/2026,13:30:00,Pôle FA - ROBLIN,1,1,0,248,248,"100,00%"
08/04/2026,13:45:00,Pôle FA - ROBLIN,1,0,1,611,611,"0,00%"
08/04/2026,16:00:00,Pôle FA - ROBLIN,1,0,1,601,601,"0,00%"
08/04/2026,12:30:00,Pôle FA - SILVERLINE,1,1,0,719,719,"100,00%"
08/04/2026,08:45:00,Pôle FA - CHANGHONG,1,1,0,404,404,"100,00%"
08/04/2026,09:00:00,Pôle FA - CHANGHONG,1,0,1,346,346,"0,00%"
Total pour 08/04/2026,,,337,242,95,197692,586.62,"71,81%"
